501.863345	-525.652771	443.435448	-479.301371
689.040116	-673.026409	542.914223	-659.820100
515.219696	-838.791619	382.859052	-790.848386
530.177081	-526.469771	465.181474	-485.753464
691.703147	-834.453059	509.435053	-815.392178
519.054206	-620.285824	435.147938	-576.621863
684.900408	-833.259899	504.067106	-813.471599
684.338648	-827.169454	505.275547	-808.235023
675.796848	-827.236416	499.938268	-806.825176
668.509429	-821.127797	496.161891	-798.617851
518.502554	-824.792363	388.580002	-777.653453
722.588253	-522.029789	603.367825	-511.502747
714.651982	-521.423965	598.332656	-511.099933
715.749415	-528.733330	596.671050	-518.098818
700.876233	-522.111134	587.204933	-509.690086
694.298110	-528.446474	580.961323	-514.775606
