80.156347	-357.170278	94.577254	-345.858135
85.741668	-361.490822	101.298544	-349.469019
57.170897	-332.526446	67.104527	-321.325082
53.005293	-328.210708	61.902313	-316.488791
48.014577	-323.207527	55.896047	-312.233725
42.984586	-317.779163	50.251060	-306.972597
38.227624	-313.290046	44.718973	-302.230808
41.494734	-39.082554	28.135178	-12.431043
36.915336	-34.723870	22.354712	-7.734414
31.268726	-30.298473	16.413676	-4.001195
134.857633	-127.419975	125.510403	-91.505917
129.591335	-122.273240	119.489084	-86.648719
124.280688	-117.842236	113.949470	-82.393653
32.830345	-172.858563	27.080519	-144.891900
59.593048	-240.038434	63.644008	-215.547373
65.515969	-244.167985	70.237353	-219.295645
70.775210	-248.165287	76.266199	-222.885856
76.127761	-262.415310	83.672422	-238.127321
75.760669	-272.474656	83.853061	-249.326975
84.275538	-282.728163	94.527337	-259.606148
84.932539	-291.855147	95.811885	-270.471284
89.579981	-296.015968	101.378260	-274.324929
92.993736	-302.817765	105.713610	-281.604035
82.405393	-313.053464	94.741428	-294.717131
102.124522	-284.852924	113.849082	-260.462513
104.763671	-292.182040	116.953406	-268.330371
93.688810	-264.252761	102.823377	-238.678718
97.151432	-252.111154	104.643153	-224.709257
118.091144	-242.019062	125.463538	-211.810252
92.008205	-219.111147	95.865408	-189.972934
111.831826	-209.529128	115.347721	-177.448590
